layer,mse,ssim,lpips,class_acc
conv1,0.014,0.4879,0.5692,0.4063
relu1,0.0176,0.0753,0.7543,0.3555
maxpool,0.0215,0.0507,0.822,0.3555
layer1_0,0.0346,0.0204,0.7346,0.3555
layer1_1,0.0394,0.0182,0.7578,0.3555
block1,0.0381,0.0194,0.7595,0.3555
layer2_0,0.0428,0.0185,0.8173,0.357
layer2_1,0.0461,0.0207,0.7847,0.3699
layer2_2,0.0513,0.022,0.8485,0.3615
block2,0.0555,0.0225,0.7585,0.3699
layer3_0,0.0681,0.0237,0.7956,0.6253
layer3_1,0.0652,0.0269,0.7696,0.6916
layer3_2,0.0644,0.0259,0.8203,0.7809
layer3_3,0.0702,0.0253,0.8187,0.796
layer3_4,0.0667,0.0269,0.9296,0.8104
block3,0.0695,0.0285,0.874,0.8216
layer4_0,0.0886,0.0133,0.7348,0.8442
layer4_1,0.1052,0.0106,0.7583,0.8519
block4,0.1214,0.007,0.7505,0.8414
