Layer,MSE,Image_Type
conv1,0.0011851433,offsample
conv1,9.682326e-05,offsample
conv1,0.012554837,offsample
conv1,0.0015947372,offsample
conv1,5.2325486e-05,offsample
conv1,0.0021062072,offsample
conv1,0.01791897,offsample
conv1,0.00028433403,offsample
conv1,0.028517192,offsample
conv1,0.027600067,offsample
conv1,0.00916983,offsample
conv1,0.0024612157,offsample
conv1,0.0045463447,offsample
conv1,0.0022845475,offsample
conv1,0.00012517265,offsample
conv1,0.00040650976,offsample
conv1,0.0031076837,offsample
conv1,0.022774808,offsample
conv1,0.028180426,offsample
conv1,0.000571909,offsample
conv1,0.00028174775,offsample
conv1,0.040796977,offsample
conv1,0.017065158,offsample
conv1,0.00015952073,offsample
conv1,0.005208336,offsample
conv1,0.0543862,offsample
conv1,0.003410221,offsample
conv1,0.02205968,offsample
conv1,0.00011132403,offsample
conv1,0.052496344,offsample
conv1,0.0021376123,offsample
conv1,0.016950915,offsample
conv1,0.02555189,offsample
conv1,0.0039249216,offsample
conv1,0.057254743,offsample
conv1,0.0006926083,offsample
conv1,0.0024235556,offsample
conv1,0.00014241067,offsample
conv1,0.0137691265,offsample
conv1,0.0036421688,offsample
conv1,0.056616288,offsample
conv1,0.042483382,offsample
conv1,0.010573661,offsample
conv1,0.0015903526,offsample
conv1,0.02109721,offsample
conv1,0.004768398,offsample
conv1,0.0062095365,offsample
conv1,0.0070086126,offsample
conv1,0.038508035,offsample
conv1,0.005474847,offsample
conv1,0.039115105,offsample
conv1,0.0634115,offsample
conv1,0.012031547,offsample
conv1,8.128332e-05,offsample
conv1,0.0071130553,offsample
conv1,6.0485586e-06,offsample
conv1,0.014204328,offsample
conv1,0.0005248891,offsample
conv1,0.0007713402,offsample
conv1,1.8976922e-05,offsample
conv1,0.022077663,offsample
conv1,0.0004224903,offsample
conv1,0.035725925,offsample
conv1,0.05184954,offsample
conv1,0.00058484805,offsample
conv1,0.014809112,offsample
conv1,0.014752522,offsample
conv1,0.0009994309,offsample
conv1,0.013163024,offsample
conv1,0.04865818,offsample
conv1,0.022569941,offsample
conv1,0.010030974,offsample
conv1,0.002176741,offsample
conv1,0.064736135,offsample
conv1,9.7423275e-05,offsample
conv1,0.00026729182,offsample
conv1,0.0012616414,offsample
conv1,0.0046139387,offsample
conv1,0.044396274,offsample
conv1,0.055685487,offsample
conv1,0.0026849909,offsample
conv1,0.022907719,offsample
conv1,0.011238329,offsample
conv1,0.021064552,offsample
conv1,0.0073133507,offsample
conv1,0.011798603,offsample
conv1,2.0855266e-05,offsample
conv1,0.052731805,offsample
conv1,0.034270838,offsample
conv1,0.003522082,offsample
conv1,0.0005463832,offsample
conv1,0.015418463,offsample
conv1,0.009299303,offsample
conv1,7.774318e-05,offsample
conv1,0.033766948,offsample
conv1,0.025492452,offsample
conv1,0.013615927,offsample
conv1,0.023476288,offsample
conv1,0.0034016748,offsample
conv1,0.01645415,offsample
conv1,0.0031649075,offsample
conv1,0.048241142,offsample
conv1,0.015782252,offsample
conv1,0.0002947117,offsample
conv1,0.0027938175,offsample
conv1,0.031554315,offsample
conv1,0.0011165253,offsample
conv1,0.01359508,offsample
conv1,0.0030933458,offsample
conv1,0.0050103026,offsample
conv1,0.0064539667,offsample
conv1,0.007200299,offsample
conv1,0.0018518392,offsample
conv1,0.051174354,offsample
conv1,0.0021171533,offsample
conv1,0.0015559222,offsample
