mode,layer,batch-size,test-batch-size,epochs,tv-weight,patience,lr,gamma,mse_loss
whitebox,conv1,64,64,15,0.1,3,0.001,0.7,29.0831
whitebox,conv1,64,64,15,0.1,3,0.0002,0.7,29.1966
whitebox,conv1,64,64,15,0.05,3,0.0002,0.7,29.4528
whitebox,conv1,64,64,15,0.025,3,0.0002,0.7,29.7277
whitebox,conv1,64,64,15,0.025,3,0.0005,0.7,30.1026
whitebox,maxpool,64,64,15,0.05,3,0.0002,0.7,38.9652
whitebox,maxpool,8,1000,3,0.05,3,0.0002,0.7,54.5333
whitebox,maxpool,8,1000,2,0.05,3,0.0002,0.7,56.8242
whitebox,maxpool,8,1000,1,0.05,3,0.0002,0.7,61.7179
whitebox,maxpool,64,64,1,0.05,3,0.0002,0.7,118.525
