mode,layer,batch-size,test-batch-size,epochs,tv-weight,patience,lr,gamma,mse_loss
blackbox,maxpool,64,64,50,0.05,3,0.001,0.7,136.3132
blackbox,maxpool,64,64,50,0.1,3,0.001,0.7,136.6262
blackbox,maxpool,64,64,50,0.2,3,0.001,0.7,136.2607
blackbox,maxpool,64,64,50,0.05,3,0.0002,0.7,136.7954
blackbox,maxpool,64,64,50,0.1,3,0.0002,0.7,136.7835
blackbox,maxpool,64,64,50,0.2,3,0.0002,0.7,136.5659
blackbox,maxpool,64,64,50,0.05,3,0.0005,0.7,136.931
blackbox,maxpool,64,64,50,0.1,3,0.0005,0.7,136.5631
blackbox,maxpool,64,64,50,0.2,3,0.0005,0.7,136.2749
blackbox,layer1,64,64,50,0.05,3,0.001,0.7,143.5326
blackbox,layer1,64,64,50,0.1,3,0.001,0.7,142.8856
blackbox,layer1,64,64,50,0.2,3,0.001,0.7,142.3669
blackbox,layer1,64,64,50,0.05,3,0.0002,0.7,144.4994
blackbox,layer1,64,64,50,0.1,3,0.0002,0.7,144.1237
blackbox,layer1,64,64,50,0.2,3,0.0002,0.7,143.2101
blackbox,layer1,64,64,50,0.05,3,0.0005,0.7,143.4276
blackbox,layer1,64,64,50,0.1,3,0.0005,0.7,143.2353
blackbox,layer1,64,64,50,0.2,3,0.0005,0.7,142.5374
blackbox,layer3,64,64,50,0.05,3,0.001,0.7,160.5464
blackbox,layer3,64,64,50,0.1,3,0.001,0.7,157.4816
blackbox,layer3,64,64,50,0.2,3,0.001,0.7,156.9049
blackbox,layer3,64,64,50,0.05,3,0.0002,0.7,166.6965
blackbox,layer3,64,64,50,0.1,3,0.0002,0.7,165.962
blackbox,layer3,64,64,50,0.2,3,0.0002,0.7,163.9288
blackbox,layer3,64,64,50,0.05,3,0.0005,0.7,164.3392
blackbox,layer3,64,64,50,0.1,3,0.0005,0.7,159.8109
blackbox,layer3,64,64,50,0.2,3,0.0005,0.7,157.9946
