mode,layer,batch-size,test-batch-size,epochs,tv-weight,patience,lr,gamma,mse_loss
blackbox,conv1,64,64,50,0.2,3,0.001,0.7,117.6101
blackbox,relu1,64,64,50,0.2,3,0.001,0.7,133.4544
blackbox,maxpool,64,64,50,0.2,3,0.001,0.7,136.451
blackbox,layer1_0,64,64,50,0.2,3,0.001,0.7,141.8115
blackbox,layer1_1,64,64,50,0.2,3,0.001,0.7,142.9096
blackbox,layer1,64,64,50,0.2,3,0.001,0.7,142.4196
blackbox,layer2_0,64,64,50,0.2,3,0.001,0.7,145.0933
blackbox,layer2_1,64,64,50,0.2,3,0.001,0.7,146.5582
blackbox,layer2_2,64,64,50,0.2,3,0.001,0.7,149.2305
blackbox,layer2,64,64,50,0.2,3,0.001,0.7,150.5734
blackbox,layer3_0,64,64,50,0.2,3,0.001,0.7,155.0427
blackbox,layer3_1,64,64,50,0.2,3,0.001,0.7,154.4828
blackbox,layer3_2,64,64,50,0.2,3,0.001,0.7,154.2701
blackbox,layer3_3,64,64,50,0.2,3,0.001,0.7,156.2531
blackbox,layer3_4,64,64,50,0.2,3,0.001,0.7,155.1562
blackbox,layer3,64,64,50,0.2,3,0.001,0.7,156.0109
blackbox,layer4_0,64,64,50,0.2,3,0.001,0.7,159.4951
blackbox,layer4_1,64,64,50,0.2,3,0.001,0.7,163.1852
blackbox,layer4,64,64,50,0.2,3,0.001,0.7,165.7219
blackbox,avgpool,64,64,50,0.2,3,0.001,0.7,
blackbox,fc,64,64,50,0.2,3,0.001,0.7,
