layer,mode,mse,ssim,lpips,class_acc,true_positives,true_negatives,false_positives,false_negatives,total_samples
conv1,blackbox,0.01401019562035799,0.4879419440142668,0.5691883022841802,0.40628362384333977,260,1628,24,2735,4647
layer1,blackbox,0.03809519112110138,0.01936285924659451,0.7595072542310197,0.3554981708629223,0,1652,0,2995,4647
layer1_0,blackbox,0.03462613746523857,0.02044212924462065,0.7346459498886706,0.3554981708629223,0,1652,0,2995,4647
layer1_1,blackbox,0.03942584991455078,0.018192398862000445,0.7578323048136427,0.3554981708629223,0,1652,0,2995,4647
layer2,blackbox,0.055535830557346344,0.022478984221435957,0.7584564460332044,0.3699160748870239,67,1652,0,2928,4647
layer2_0,blackbox,0.042782243341207504,0.01845180845265923,0.8173357073866169,0.3570045190445449,7,1652,0,2988,4647
layer2_1,blackbox,0.04605131596326828,0.02071475715860098,0.7846812196308396,0.3699160748870239,67,1652,0,2928,4647
layer2_2,blackbox,0.05133433640003204,0.021988532149271333,0.8485415860776468,0.3615235635894125,28,1652,0,2967,4647
layer3,blackbox,0.0695166364312172,0.028477220022302078,0.874025463942484,0.8216053367764149,2179,1639,13,816,4647
layer3_0,blackbox,0.0680731013417244,0.023693435219119766,0.795642141824336,0.6253496879707338,1268,1638,14,1727,4647
layer3_1,blackbox,0.06523124128580093,0.026938971472903687,0.7696019457069961,0.6916290079621261,1570,1644,8,1425,4647
layer3_2,blackbox,0.06443958729505539,0.025905228359577762,0.8202767115730046,0.780933935872606,1992,1637,15,1003,4647
layer3_3,blackbox,0.07021969556808472,0.0252526314380501,0.8186722074577006,0.7959974176888315,2061,1638,14,934,4647
layer3_4,blackbox,0.06672782450914383,0.02688576098572723,0.9295666606189719,0.8104153217129331,2131,1635,17,864,4647
layer4,blackbox,0.12141445279121399,0.006961201757144857,0.7505212535723733,0.8414030557348827,2293,1617,35,702,4647
layer4_0,blackbox,0.08859771490097046,0.013259337432296195,0.7348496364423581,0.8442005595007531,2291,1632,20,704,4647
layer4_1,blackbox,0.10521765798330307,0.010628038711185001,0.7583262746709122,0.8519474930062406,2345,1614,38,650,4647
maxpool,blackbox,0.02153596840798855,0.05067673142083931,0.8220393613881902,0.3554981708629223,0,1652,0,2995,4647
relu1,blackbox,0.01759685017168522,0.0752994833199078,0.7542718040101729,0.3554981708629223,0,1652,0,2995,4647
