mode,layer,batch-size,test-batch-size,epochs,tv-weight,patience,lr,gamma,mse_loss,training_time
blackbox,conv1,64,64,50,0.2,3,0.001,0.7,117.6063,399.68285512924194
blackbox,relu1,64,64,50,0.2,3,0.001,0.7,133.5561,210.5675458908081
blackbox,maxpool,64,64,50,0.2,3,0.001,0.7,136.3376,270.90021562576294
blackbox,layer1_0,64,64,50,0.2,3,0.001,0.7,141.5202,1080.8252267837524
blackbox,layer1_1,64,64,50,0.2,3,0.001,0.7,143.0049,1145.3510003089905
blackbox,block1,64,64,50,0.2,3,0.001,0.7,142.4151,1126.5026354789734
blackbox,layer2_0,64,64,50,0.2,3,0.001,0.7,144.9399,1457.3466360569
blackbox,layer2_1,64,64,50,0.2,3,0.001,0.7,147.1705,1612.3100020885468
blackbox,layer2_2,64,64,50,0.2,3,0.001,0.7,149.0804,1707.9444551467896
blackbox,block2,64,64,50,0.2,3,0.001,0.7,150.5058,2273.2538216114044
blackbox,layer3_0,64,64,50,0.2,3,0.001,0.7,154.892,3666.173475980759
blackbox,layer3_1,64,64,50,0.2,3,0.001,0.7,154.4494,3792.162898540497
blackbox,layer3_2,64,64,50,0.2,3,0.001,0.7,155.6973,3923.205553293228
blackbox,layer3_3,64,64,50,0.2,3,0.001,0.7,156.1323,3573.7858884334564
blackbox,layer3_4,64,64,50,0.2,3,0.001,0.7,156.1675,3859.888894557953
blackbox,block3,64,64,50,0.2,3,0.001,0.7,155.8991,4334.52682185173
blackbox,layer4_0,64,64,50,0.2,3,0.001,0.7,160.213,4648.835311412811
blackbox,layer4_1,64,64,50,0.2,3,0.001,0.7,162.2467,4757.250267505646
blackbox,block4,64,64,50,0.2,3,0.001,0.7,164.6413,4483.027569055557
