Server (hostname);Serial Number;Inventari URV;Projecte;Any;Model;RAMxCPU;Memory (GB);CPU Sockets;CxCPU;TxCPU;Total Cores;Total Threads;CPU;Notes;;;;;;;;;;;;;;;;;;
controller;HYVX752;;;;;;32;1;6;12;6;12;Intel(R) Xeon(R) CPU E5-2420 v2 @ 2.20GHz;;;;;;;;;;;;;;;;;;;
cloudfunctions;HMGQMW1;;;;;;;1;4;4;4;4;Intel(R) Xeon(R) CPU E5-2407 0 @ 2.20GHz;;;;;;;;;;;;;;;;;;;
proxy2;JNGQMW1;;;;;;;1;4;4;4;4;Intel(R) Xeon(R) CPU E5-2407 0 @ 2.20GHz;;;;;;;;;;;;;;;;;;;
storage0;3SGQMW1;223551;;;;;15;1;4;4;4;4;Intel(R) Xeon(R) CPU E5-2403 0 @ 1.80GHz;;;;;;;;;;;;;;;;;;;
storage1;5SGQMW1;223549;;;;;15;1;4;4;4;4;Intel(R) Xeon(R) CPU E5-2403 0 @ 1.80GHz;;;;;;;;;;;;;;;;;;;
storage2;6SGQMW1;223548;;;;;15;1;4;4;4;4;Intel(R) Xeon(R) CPU E5-2403 0 @ 1.80GHz;;;;;;;;;;;;;;;;;;;
storage3;4SGQMW1;223550;;;;;15;1;4;4;4;4;Intel(R) Xeon(R) CPU E5-2403 0 @ 1.80GHz;;;;;;;;;;;;;;;;;;;
storage4;7YJP762;;;;;;;1;4;4;4;4;Intel(R) Xeon(R) CPU E5-2403 v2 @ 1.80GHz;;;;;;;;;;;;;;;;;;;
storage5;DXJP762;;;;;;;1;4;4;4;4;Intel(R) Xeon(R) CPU E5-2403 v2 @ 1.80GHz;;;;;;;;;;;;;;;;;;;
storage6;3YJP762;;;;;;;1;4;4;4;4;Intel(R) Xeon(R) CPU E5-2403 v2 @ 1.80GHz;;;;;;;;;;;;;;;;;;;
compute0;GMTX752;;IOStack;;Dell PowerEdge R420;;98;2;6;6;12;12;Intel(R) Xeon(R) CPU E5-2420 v2 @ 2.20GHz;;;;;;;;;;;;;;;;;;;
compute1;BMTX752;;IOStack;;Dell PowerEdge R420;;82;2;6;6;12;12;Intel(R) Xeon(R) CPU E5-2420 v2 @ 2.20GHz;1 socket de ram no funciona (la memoria est� instalada);;;;;;;;;;;;;;;;;;
compute2;BDM68C2;231403;IOStack;;Dell PowerEdge R420;;32;2;6;6;12;12;Intel(R) Xeon(R) CPU E5-2620 v3 @ 2.40GHz;;;;;;;;;;;;;;;;;;;
compute3;CF1Z3J2;233760;TIN2016;2017;Dell PowerEdge R430;;32;2;8;16;16;32;Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz;;;;;;;;;;;;;;;;;;;
compute4;FJTV2T2;235064;CloudButton;2019;Dell PowerEdge R440;16;32;2;12;24;24;48;Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz;;;;;;;;;;;;;;;;;;;
compute5;FJTT2T2;235063;CloudButton;2019;Dell PowerEdge R440;16;32;2;12;24;24;48;Intel(R) Xeon(R) Gold 5118 CPU @ 2.30GHz;;;;;;;;;;;;;;;;;;;
compute6;;;CLOUDLESS;2023;HPE DL365 Gen10+ 8SFF CTO Svr;64;128;2;32;64;64;128;;;;;;;;;;;;;;;;;;;;
compute7;;;CLOUDLESS;2023;HPE DL365 Gen10+ 8SFF CTO Svr;64;128;2;32;64;64;128;;;;;;;;;;;;;;;;;;;;
